"model","mean","std_err"
"Gradient_Boosting",0.837442919584337,0.00774458759757102
"Random_Forest",0.833355126748056,0.00971860723282997
"Logistic",0.828923052272965,0.00759332881900637
"MLP_Neural_Net",0.80801956926436,0.00607514687427127
"Decision_Tree",0.729254943574745,0.009896608580598
