".threshold",".metric",".estimator",".estimate"
0.49,"sensitivity","binary",0.361111111111111
0.5,"sensitivity","binary",0.361111111111111
0.51,"sensitivity","binary",0.347222222222222
0.52,"sensitivity","binary",0.347222222222222
0.53,"sensitivity","binary",0.333333333333333
0.54,"sensitivity","binary",0.333333333333333
0.55,"sensitivity","binary",0.319444444444444
0.56,"sensitivity","binary",0.305555555555556
0.57,"sensitivity","binary",0.291666666666667
0.58,"sensitivity","binary",0.291666666666667
0.59,"sensitivity","binary",0.291666666666667
0.6,"sensitivity","binary",0.291666666666667
0.61,"sensitivity","binary",0.291666666666667
0.62,"sensitivity","binary",0.277777777777778
0.63,"sensitivity","binary",0.263888888888889
0.64,"sensitivity","binary",0.25
0.65,"sensitivity","binary",0.236111111111111
0.66,"sensitivity","binary",0.236111111111111
0.67,"sensitivity","binary",0.222222222222222
0.68,"sensitivity","binary",0.222222222222222
0.69,"sensitivity","binary",0.222222222222222
0.7,"sensitivity","binary",0.222222222222222
0.71,"sensitivity","binary",0.222222222222222
0.72,"sensitivity","binary",0.208333333333333
0.73,"sensitivity","binary",0.208333333333333
0.74,"sensitivity","binary",0.208333333333333
0.75,"sensitivity","binary",0.208333333333333
0.76,"sensitivity","binary",0.194444444444444
0.77,"sensitivity","binary",0.180555555555556
0.78,"sensitivity","binary",0.180555555555556
0.79,"sensitivity","binary",0.152777777777778
0.8,"sensitivity","binary",0.152777777777778
0.81,"sensitivity","binary",0.152777777777778
0.82,"sensitivity","binary",0.138888888888889
0.83,"sensitivity","binary",0.111111111111111
0.84,"sensitivity","binary",0.111111111111111
0.85,"sensitivity","binary",0.111111111111111
0.86,"sensitivity","binary",0.111111111111111
0.87,"sensitivity","binary",0.0833333333333333
0.88,"sensitivity","binary",0.0833333333333333
0.89,"sensitivity","binary",0.0833333333333333
0.9,"sensitivity","binary",0.0833333333333333
0.91,"sensitivity","binary",0.0555555555555556
0.92,"sensitivity","binary",0.0416666666666667
0.93,"sensitivity","binary",0.0416666666666667
0.94,"sensitivity","binary",0.0416666666666667
0.95,"sensitivity","binary",0.0277777777777778
0.05,"specificity","binary",0.535135135135135
0.06,"specificity","binary",0.567567567567568
0.07,"specificity","binary",0.608108108108108
0.08,"specificity","binary",0.621621621621622
0.09,"specificity","binary",0.635135135135135
0.1,"specificity","binary",0.645945945945946
0.11,"specificity","binary",0.672972972972973
0.12,"specificity","binary",0.686486486486486
0.13,"specificity","binary",0.7
0.14,"specificity","binary",0.708108108108108
0.15,"specificity","binary",0.727027027027027
0.16,"specificity","binary",0.748648648648649
0.17,"specificity","binary",0.75945945945946
0.18,"specificity","binary",0.772972972972973
0.19,"specificity","binary",0.783783783783784
0.2,"specificity","binary",0.797297297297297
0.21,"specificity","binary",0.805405405405405
0.22,"specificity","binary",0.818918918918919
0.23,"specificity","binary",0.827027027027027
0.24,"specificity","binary",0.837837837837838
0.25,"specificity","binary",0.84054054054054
0.26,"specificity","binary",0.854054054054054
0.27,"specificity","binary",0.862162162162162
0.28,"specificity","binary",0.872972972972973
0.29,"specificity","binary",0.881081081081081
0.3,"specificity","binary",0.883783783783784
0.31,"specificity","binary",0.886486486486487
0.32,"specificity","binary",0.889189189189189
0.33,"specificity","binary",0.9
0.34,"specificity","binary",0.9
0.35,"specificity","binary",0.9
0.36,"specificity","binary",0.902702702702703
0.37,"specificity","binary",0.913513513513514
0.38,"specificity","binary",0.921621621621622
0.39,"specificity","binary",0.927027027027027
0.4,"specificity","binary",0.92972972972973
0.41,"specificity","binary",0.937837837837838
0.42,"specificity","binary",0.943243243243243
0.43,"specificity","binary",0.945945945945946
0.44,"specificity","binary",0.945945945945946
0.45,"specificity","binary",0.945945945945946
0.46,"specificity","binary",0.945945945945946
0.47,"specificity","binary",0.945945945945946
0.48,"specificity","binary",0.945945945945946
0.49,"specificity","binary",0.945945945945946
0.5,"specificity","binary",0.948648648648649
0.51,"specificity","binary",0.951351351351351
0.52,"specificity","binary",0.956756756756757
0.53,"specificity","binary",0.956756756756757
0.54,"specificity","binary",0.959459459459459
0.55,"specificity","binary",0.962162162162162
0.56,"specificity","binary",0.964864864864865
0.57,"specificity","binary",0.964864864864865
0.58,"specificity","binary",0.964864864864865
0.59,"specificity","binary",0.967567567567568
0.6,"specificity","binary",0.97027027027027
0.61,"specificity","binary",0.97027027027027
0.62,"specificity","binary",0.978378378378378
0.63,"specificity","binary",0.981081081081081
0.64,"specificity","binary",0.981081081081081
0.65,"specificity","binary",0.981081081081081
0.66,"specificity","binary",0.981081081081081
0.67,"specificity","binary",0.983783783783784
0.68,"specificity","binary",0.986486486486487
0.69,"specificity","binary",0.986486486486487
0.7,"specificity","binary",0.986486486486487
0.71,"specificity","binary",0.986486486486487
0.72,"specificity","binary",0.986486486486487
0.73,"specificity","binary",0.986486486486487
0.74,"specificity","binary",0.986486486486487
0.75,"specificity","binary",0.989189189189189
0.76,"specificity","binary",0.989189189189189
0.77,"specificity","binary",0.994594594594595
0.78,"specificity","binary",0.997297297297297
0.79,"specificity","binary",0.997297297297297
0.8,"specificity","binary",0.997297297297297
0.81,"specificity","binary",0.997297297297297
0.82,"specificity","binary",0.997297297297297
0.83,"specificity","binary",0.997297297297297
0.84,"specificity","binary",0.997297297297297
0.85,"specificity","binary",0.997297297297297
0.86,"specificity","binary",0.997297297297297
0.87,"specificity","binary",0.997297297297297
0.88,"specificity","binary",0.997297297297297
0.89,"specificity","binary",1
0.9,"specificity","binary",1
0.91,"specificity","binary",1
0.92,"specificity","binary",1
0.93,"specificity","binary",1
0.94,"specificity","binary",1
0.95,"specificity","binary",1
0.05,"distance","binary",0.239440391968545
0.06,"distance","binary",0.219598117261406
0.07,"distance","binary",0.202961970979989
0.08,"distance","binary",0.205670197224251
0.09,"distance","binary",0.195626369612856
0.1,"distance","binary",0.210423717636555
0.11,"distance","binary",0.208991429492556
0.12,"distance","binary",0.200335476242008
0.13,"distance","binary",0.19204475308642
0.14,"distance","binary",0.196311987663339
0.15,"distance","binary",0.185625355084815
0.16,"distance","binary",0.174288612937262
0.17,"distance","binary",0.178423023248474
0.18,"distance","binary",0.181942505568632
0.19,"distance","binary",0.208979390426463
0.2,"distance","binary",0.214699496794091
0.21,"distance","binary",0.211478167356546
0.22,"distance","binary",0.206401469036604
0.23,"distance","binary",0.20353076049022
0.24,"distance","binary",0.199907677948218
0.25,"distance","binary",0.199038430322214
0.26,"distance","binary",0.194911330249168
0.27,"distance","binary",0.204377355959563
0.28,"distance","binary",0.201513952015078
0.29,"distance","binary",0.199519795696598
0.3,"distance","binary",0.198884295331367
0.31,"distance","binary",0.198263404169936
0.32,"distance","binary",0.197657122212302
0.33,"distance","binary",0.207530864197531
0.34,"distance","binary",0.207530864197531
0.35,"distance","binary",0.232993827160494
0.36,"distance","binary",0.232460591221852
0.37,"distance","binary",0.243783924690456
0.38,"distance","binary",0.256143170197224
0.39,"distance","binary",0.269406844907971
0.4,"distance","binary",0.269019701007314
0.41,"distance","binary",0.267945924528132
0.42,"distance","binary",0.311863304746188
0.43,"distance","binary",0.327188816068321
0.44,"distance","binary",0.359596223475728
0.45,"distance","binary",0.393546840759679
0.46,"distance","binary",0.393546840759679
0.47,"distance","binary",0.393546840759679
0.48,"distance","binary",0.411100853105358
0.49,"distance","binary",0.411100853105358
0.5,"distance","binary",0.410815973631289
0.51,"distance","binary",0.428485518175833
0.52,"distance","binary",0.427988805246688
0.53,"distance","binary",0.446314422530639
0.54,"distance","binary",0.446087979871764
0.55,"distance","binary",0.464587566169773
0.56,"distance","binary",0.483487564140717
0.57,"distance","binary",0.502970588832075
0.58,"distance","binary",0.502970588832075
0.59,"distance","binary",0.502787973784595
0.6,"distance","binary",0.502619967940914
0.61,"distance","binary",0.502619967940914
0.62,"distance","binary",0.522072432793154
0.63,"distance","binary",0.542217493394295
0.64,"distance","binary",0.562857925493061
0.65,"distance","binary",0.583884160060962
0.66,"distance","binary",0.583884160060962
0.67,"distance","binary",0.605201237273309
0.68,"distance","binary",0.605120886652418
0.69,"distance","binary",0.605120886652418
0.7,"distance","binary",0.605120886652418
0.71,"distance","binary",0.605120886652418
0.72,"distance","binary",0.626918726158591
0.73,"distance","binary",0.626918726158591
0.74,"distance","binary",0.626918726158591
0.75,"distance","binary",0.626852984741498
0.76,"distance","binary",0.649036626716807
0.77,"distance","binary",0.671518415938461
0.78,"distance","binary",0.671496502132763
0.79,"distance","binary",0.71779279842906
0.8,"distance","binary",0.71779279842906
0.81,"distance","binary",0.71779279842906
0.82,"distance","binary",0.741519650280912
0.83,"distance","binary",0.790130761392023
0.84,"distance","binary",0.790130761392023
0.85,"distance","binary",0.790130761392023
0.86,"distance","binary",0.790130761392023
0.87,"distance","binary",0.840285082379677
0.88,"distance","binary",0.840285082379677
0.89,"distance","binary",0.840277777777778
0.9,"distance","binary",0.840277777777778
0.91,"distance","binary",0.891975308641975
0.92,"distance","binary",0.918402777777778
0.93,"distance","binary",0.918402777777778
0.94,"distance","binary",0.918402777777778
0.95,"distance","binary",0.945216049382716
